cross_track_error,reached_goal,collision,reward,timesteps,duration,progress,pathlength
0.0,0.0,1.0,-2983.3023221881313,330.0,330.0,0.7012,0.0
0.0,0.0,0.0,-2002.5415500599588,326.0,326.0,0.7284,0.0
0.0,0.0,1.0,-2211.4968512198748,202.0,202.0,0.8253,0.0
0.0,0.0,1.0,-1281.4613621919611,39.0,39.0,0.8078,0.0
0.0,0.0,0.0,-2000.2199746384736,331.0,331.0,0.6259,0.0
0.0,0.0,1.0,-1272.037307165779,42.0,42.0,0.7838,0.0
0.0,0.0,1.0,-2942.1050238449325,311.0,311.0,0.7081,0.0
0.0,0.0,1.0,-1252.5087852725617,35.0,35.0,0.766,0.0
0.0,0.0,1.0,-1789.053135605067,127.0,127.0,0.6671,0.0
0.0,0.0,1.0,-2308.4722308615605,210.0,210.0,0.7549,0.0
0.0,0.0,1.0,-1195.0221046777572,22.0,22.0,0.6478,0.0
0.0,0.0,1.0,-2960.3426836569233,322.0,322.0,0.7143,0.0
0.0,0.0,1.0,-2171.5172486910515,187.0,187.0,0.7641,0.0
0.0,0.0,1.0,-1921.7717245251197,137.0,137.0,0.8313,0.0
0.0,0.0,0.0,-2002.9993951565507,328.0,328.0,0.6997,0.0
0.0,0.0,1.0,-1976.1778372860254,149.0,149.0,0.7259,0.0
0.0,0.0,1.0,-2286.0296712608497,208.0,208.0,0.6984,0.0
0.0,0.0,0.0,-2003.2123953893972,325.0,325.0,0.6498,0.0
0.0,0.0,1.0,-1135.5548818036743,14.0,14.0,0.6806,0.0
0.0,0.0,1.0,-1252.0148160801832,26.0,26.0,0.6497,0.0
0.0,0.0,1.0,-2486.168305192363,249.0,249.0,0.7286,0.0
0.0,0.0,1.0,-2401.0927035226473,212.0,212.0,0.7462,0.0
0.0,0.0,1.0,-1624.2814550278376,97.0,97.0,0.7548,0.0
0.0,0.0,0.0,-2000.468231436152,339.0,339.0,0.7311,0.0
0.0,0.0,0.0,-2011.32325579317,135.0,135.0,-0.0366,0.0
0.0,0.0,0.0,-2007.6099845524775,327.0,327.0,0.4837,0.0
0.0,0.0,1.0,-1789.1308821512735,130.0,130.0,0.7765,0.0
0.0,0.0,0.0,-2000.3555686243587,341.0,341.0,0.5784,0.0
0.0,0.0,1.0,-1587.8950047258572,94.0,94.0,0.7618,0.0
0.0,0.0,1.0,-2560.289829028957,259.0,259.0,0.7129,0.0
0.0,0.0,1.0,-1534.516517544594,81.0,81.0,0.7569,0.0
0.0,0.0,1.0,-1104.7672551047535,12.0,12.0,0.7534,0.0
0.0,0.0,1.0,-2971.880534234796,318.0,318.0,0.8171,0.0
0.0,0.0,0.0,-2004.9352649550078,334.0,334.0,0.6167,0.0
0.0,0.0,1.0,-1083.314134396461,9.0,9.0,0.6896,0.0
0.0,1.0,0.0,-65.8483785663609,165.0,165.0,1.008,0.0
0.0,0.0,1.0,-2503.377420055442,253.0,253.0,0.7101,0.0
0.0,0.0,1.0,-1179.274050879674,18.0,18.0,0.6415,0.0
0.0,0.0,0.0,-2000.106671521443,331.0,331.0,0.6149,0.0
0.0,0.0,1.0,-1574.2497974855864,87.0,87.0,0.734,0.0
0.0,0.0,1.0,-1816.5764601155126,134.0,134.0,0.8037,0.0
0.0,0.0,1.0,-1727.3910377537472,104.0,104.0,0.7689,0.0
0.0,0.0,0.0,-2001.8572231645746,346.0,346.0,0.5544,0.0
0.0,0.0,0.0,-2002.5737784820126,332.0,332.0,0.7322,0.0
0.0,0.0,1.0,-2634.68645623288,269.0,269.0,0.7956,0.0
